Team,Conference,ConferenceAbbrev,Power5,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,urlSchool,Team Code,Conference Code
Boston College,Atlantic Coast,ACC,TRUE,Eagles,BC,Boston Col.,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,67,821
Clemson,Atlantic Coast,ACC,TRUE,Tigers,CLEM,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,147,821
Duke,Atlantic Coast,ACC,TRUE,Blue Devils,DUKE,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,193,821
Florida St.,Atlantic Coast,ACC,TRUE,Seminoles,FSU,Florida St,Florida State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,234,821
Georgia Tech,Atlantic Coast,ACC,TRUE,Yellow Jackets,GT,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,255,821
Louisville,Atlantic Coast,ACC,TRUE,Cardinals,LOU,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,367,823
Miami (FL),Atlantic Coast,ACC,TRUE,Hurricanes,MIA,Miami (Fla),Miami,Miami (Florida),,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,415,821
North Carolina,Atlantic Coast,ACC,TRUE,Tar Heels,UNC,N Carolina,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,457,821
NC State,Atlantic Coast,ACC,TRUE,Wolfpack,NCST,North Carolina St.,North Carolina St,NC St.,NC St,North Carolina State,N Carolina St,,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,490,821
Pittsburgh,Atlantic Coast,ACC,TRUE,Panthers,PITT,Pitt,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,545,823
Syracuse,Atlantic Coast,ACC,TRUE,Orange,SYR,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,688,823
Virginia,Atlantic Coast,ACC,TRUE,Cavaliers,UVA,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,746,821
Virginia Tech,Atlantic Coast,ACC,TRUE,Hokies,VT,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,742,821
Wake Forest,Atlantic Coast,ACC,TRUE,Demon Deacons,WAKE,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,749,821
Central Florida,American Athletic,AAC,FALSE,Knights,UCF,C Florida,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,128,24312
Cincinnati,American Athletic,AAC,FALSE,Bearcats,CIN,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,140,823
Connecticut,American Athletic,AAC,FALSE,Huskies,CONN,UConn,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,164,823
East Carolina,American Athletic,AAC,FALSE,Pirates,ECU,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png,196,24312
Houston,American Athletic,AAC,FALSE,Cougars,HOU,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,288,24312
Memphis,American Athletic,AAC,FALSE,Tigers,MEM,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,404,24312
Navy,American Athletic,AAC,FALSE,Midshipmen,NAVY,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,726,99001
SMU,American Athletic,AAC,FALSE,Mustangs,SMU,Southern Methodist,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,663,24312
South Florida,American Athletic,AAC,FALSE,Bulls,USF,S Florida,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,651,823
Temple,American Athletic,AAC,FALSE,Owls,TEM,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,690,823
Tulane,American Athletic,AAC,FALSE,Green Wave,TULN,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,718,24312
Tulsa,American Athletic,AAC,FALSE,Golden Hurricane,TLSA,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,719,24312
Baylor,Big Twelve,Big 12,TRUE,Bears,BAY,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,51,25354
Iowa St.,Big Twelve,Big 12,TRUE,Cyclones,ISU,Iowa St,Iowa State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,311,25354
Kansas,Big Twelve,Big 12,TRUE,Jayhawks,KU,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,328,25354
Kansas St.,Big Twelve,Big 12,TRUE,Wildcats,KSU,Kansas St,Kansas State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,327,25354
Oklahoma,Big Twelve,Big 12,TRUE,Sooners,OKLA,OU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,522,25354
Oklahoma St.,Big Twelve,Big 12,TRUE,Cowboys,OKST,Oklahoma St,Oklahoma State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,521,25354
TCU,Big Twelve,Big 12,TRUE,Horned Frogs,TCU,Texas Christian,Texas-Christian,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,698,25354
Texas,Big Twelve,Big 12,TRUE,Longhorns,TEX,Texas College,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,703,25354
Texas Tech,Big Twelve,Big 12,TRUE,Red Raiders,TTU,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,700,25354
West Virginia,Big Twelve,Big 12,TRUE,Mountaineers,WVU,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,768,25354
Illinois,Big Ten,B1G,TRUE,Fighting Illini,ILL,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,301,827
Indiana,Big Ten,B1G,TRUE,Hoosiers,IND,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,306,827
Iowa,Big Ten,B1G,TRUE,Hawkeyes,IOWA,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,312,827
Maryland,Big Ten,B1G,TRUE,Terrapins,UMD,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,392,821
Michigan,Big Ten,B1G,TRUE,Wolverines,MICH,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,418,827
Michigan St.,Big Ten,B1G,TRUE,Spartans,MSU,Michigan St,Michigan State,Mich. St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,416,827
Minnesota,Big Ten,B1G,TRUE,Golden Gophers,MINN,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,428,827
Nebraska,Big Ten,B1G,TRUE,Cornhuskers,NEB,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,463,827
Northwestern,Big Ten,B1G,TRUE,Wildcats,NW,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,509,827
Ohio St.,Big Ten,B1G,TRUE,Buckeyes,OSU,Ohio St,Ohio State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,518,827
Penn State,Big Ten,B1G,TRUE,Nittany Lions,PSU,Penn St.,Penn St,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,539,827
Purdue,Big Ten,B1G,TRUE,Boilermakers,PUR,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,559,827
Rutgers,Big Ten,B1G,TRUE,Scarlet Knights,RUTG,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,587,823
Wisconsin,Big Ten,B1G,TRUE,Badgers,WIS,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,796,827
Charlotte,Conference USA,C-USA,FALSE,49ers,CHAR,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,,
Florida Atlantic,Conference USA,C-USA,FALSE,Owls,FAU,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,229,818
Florida Intl,Conference USA,C-USA,FALSE,Golden Panthers,FIU,Florida International,Florida Int.,Florida Intl.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,231,818
Louisiana Tech,Conference USA,C-USA,FALSE,Bulldogs,LT,LA Tech,La Tech,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,366,923
Marshall,Conference USA,C-USA,FALSE,Thundering Herd,MRSH,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,388,24312
Middle Tennessee,Conference USA,C-USA,FALSE,Blue Raiders,MTSU,Middle Tenn,Mid Tennessee,Middle Tenn. St.,Middle Tenn. St,Middle Tenn. State,Middle Tennessee St.,Middle Tennessee State,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,419,818
North Texas,Conference USA,C-USA,FALSE,Mean Green,UNT,N Texas,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,497,818
Old Dominion,Conference USA,C-USA,FALSE,Monarchs,ODU,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,523,837
Rice,Conference USA,C-USA,FALSE,Owls,RICE,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,574,24312
Southern Miss,Conference USA,C-USA,FALSE,Golden Eagles,USM,Southern Mississippi,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,664,24312
UAB,Conference USA,C-USA,FALSE,Blazers,UAB,Alabama-Birmingham,Alabama Birmingham,Ala-Birmingham,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,9,24312
UTEP,Conference USA,C-USA,FALSE,Miners,UTEP,Texas El-Paso,Texas-El Paso,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,704,24312
UTSA,Conference USA,C-USA,FALSE,Roadrunners,UTSA,Texas San-Antonio,Texas-San Antonio,UT San Antonio,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,706,923
Western Kentucky,Conference USA,C-USA,FALSE,Hilltoppers,WKU,W Kentucky,W. Kentucky,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,772,818
Army,Independent (FBS),IND (FBS),FALSE,Black Knights,ARMY,Army West Point,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,725,99001
BYU,Independent (FBS),IND (FBS),FALSE,Cougars,BYU,Brigham Young,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,77,99001
Liberty,Independent (FBS),IND (FBS),FALSE,Flames,LIB,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,355,826
Massachusetts,Independent (FBS),IND (FBS),FALSE,Minutemen,UMASS,UMass,Mass,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,400,875
New Mexico State,Independent (FBS),IND (FBS),FALSE,Aggies,NMSU,New Mexico St,New Mexico St.,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,472,923
Notre Dame,Independent (FBS),IND (FBS),TRUE,Fighting Irish,ND,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,513,99001
Akron,Mid-American,MAC,FALSE,Zips,AKR,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,5,875
Ball St.,Mid-American,MAC,FALSE,Cardinals,BALL,Ball St,Ball State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,47,875
Bowling Green,Mid-American,MAC,FALSE,Falcons,BGSU,Bowling Green State,Bowling Green St.,Bowling Green St,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,71,875
Buffalo,Mid-American,MAC,FALSE,Bulls,BUFF,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,86,875
Central Michigan,Mid-American,MAC,FALSE,Chippewas,CMU,Cent Michigan,C Michigan,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,129,875
Eastern Michigan,Mid-American,MAC,FALSE,Eagles,EMU,E Michigan,East. Michigan,East Michigan,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,204,875
Kent State,Mid-American,MAC,FALSE,Golden Flashes,KENT,Kent St.,Kent St,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,331,875
Miami (OH),Mid-American,MAC,FALSE,RedHawks,M-OH,Miami (Ohio),,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,414,875
Northern Illinois,Mid-American,MAC,FALSE,Huskies,NIU,N Illinois,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,503,875
Ohio,Mid-American,MAC,FALSE,Bobcats,OHIO,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,519,875
Toledo,Mid-American,MAC,FALSE,Rockets,TOL,TOLEDO,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,709,875
Western Michigan,Mid-American,MAC,FALSE,Broncos,WMU,W Michigan,West. Michigan,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,774,875
Air Force,Mountain West,MWC,FALSE,Falcons,AFA,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,721,5486
Boise St.,Mountain West,MWC,FALSE,Broncos,BSU,Boise St,Boise State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,66,5486
Colorado St.,Mountain West,MWC,FALSE,Rams,CSU,Colorado St,Colorado State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,156,5486
Fresno St.,Mountain West,MWC,FALSE,Bulldogs,FRES,Fresno St,Fresno State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,96,5486
Hawaii,Mountain West,MWC,FALSE,Rainbow Warriors,HAW,Hawai'i,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,277,5486
Nevada,Mountain West,MWC,FALSE,Wolf Pack,NEV,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,466,5486
New Mexico,Mountain West,MWC,FALSE,Lobos,UNM,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,473,5486
San Diego St.,Mountain West,MWC,FALSE,Aztecs,SDSU,San Diego St,San Diego State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,626,5486
San Jose St.,Mountain West,MWC,FALSE,Spartans,SJSU,San Jose St,San Jose State,San José State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,630,923
UNLV,Mountain West,MWC,FALSE,Rebels,UNLV,Nevada-Las Vegas,Nevada Las Vegas,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,465,5486
Utah St.,Mountain West,MWC,FALSE,Aggies,USU,Utah St,Utah State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,731,923
Wyoming,Mountain West,MWC,FALSE,Cowboys,WYO,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,811,5486
Arizona,Pac 12,Pac-12,TRUE,Wildcats,ARIZ,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,29,905
Arizona St.,Pac 12,Pac-12,TRUE,Sun Devils,ASU,Arizona St,Arizona State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,28,905
California,Pac 12,Pac-12,TRUE,Golden Bears,CAL,Cal,University of California,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,107,905
Colorado,Pac 12,Pac-12,TRUE,Buffaloes,COLO,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,157,905
Oregon,Pac 12,Pac-12,TRUE,Ducks,ORE,UO,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,529,905
Oregon St.,Pac 12,Pac-12,TRUE,Beavers,ORST,Oregon St,Oregon State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,528,905
Stanford,Pac 12,Pac-12,TRUE,Cardinal,STAN,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,674,905
UCLA,Pac 12,Pac-12,TRUE,Bruins,UCLA,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,110,905
USC,Pac 12,Pac-12,TRUE,Trojans,USC,Southern Cal,Southern California,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,657,905
